( 1000101, 1000197);;;
( 1000111, 1000121);;;
( 1000127, 1000131);( 1000127, 1000133);;
( 1000131, 1000197);;;
( 1000133, 1000195);;;
( 1000195, 1000197);;;
( 1000211, 1000215);;;
( 1000311, 1000315);;;
( 1000401, 1000415);( 1000401, 1000501);( 1000401, 1000505);
( 1000403, 1000407);;;
( 1000405, 1000407);;;
( 1000415, 1000505);;;
( 1000501, 1000505);;;
( 1000601, 1000605);( 1000601, 1001013);;
( 1000701, 1000702);( 1000701, 1000705);;
( 1000702, 1000705);;;
( 1000705, 1001101);;;
( 1000901, 1000905);;;
( 1000903, 1000907);;;
( 1000905, 1000907);;;
( 1001001, 1001003);( 1001001, 1001005);;
( 1001003, 1001007);;;
( 1001013, 1001017);;;
( 1001101, 1001105);;;
( 1001103, 1001108);;;
( 1001105, 1001201);;;
( 1001201, 1001203);;;
( 1001301, 1001505);;;
( 1001304, 1001306);( 1001304, 1001307);;
( 1001306, 1001307);;;
( 1001503, 1001505);( 1001503, 1001507);;
( 1001507, 2200203);;;
( 1001601, 1001605);;;
( 1001702, 1001706);;;
( 1001802, 1001806);;;
( 1001901, 1001905);;;
( 1001903, 1001907);;;
( 1002001, 1002003);( 1002001, 1002005);( 1002001, 1002007);
( 1002003, 1002007);;;
( 1002005, 1003601);;;
( 1002011, 1002015);;;
( 1002101, 1002103);( 1002101, 1002105);;
( 1002103, 1002105);( 1002103, 1002107);;
( 1002105, 1002117);;;
( 1002201, 1002205);;;
( 1002311, 1002315);;;
( 1002401, 1002405);;;
( 1002501, 1002505);( 1002501, 1002507);;
( 1002503, 1002507);( 1002503, 1002525);;
( 1002505, 1002507);;;
( 1002507, 1002525);;;
( 1002511, 1002515);;;
( 1002701, 1002705);;;
( 1002801, 1002805);;;
( 1002803, 1002805);( 1002803, 1002807);;
( 1002805, 1002807);;;
( 1002807, 1901403);;;
( 1003002, 1003003);( 1003002, 1003006);( 1003002, 1003018);( 1003002, 1003028)
( 1003003, 1003004);( 1003003, 1003006);( 1003003, 1003018);
( 1003004, 1003018);;;
( 1003006, 1003018);;;
( 1003014, 1003018);( 1003014, 1003028);( 1003014, 2300703);
( 1003203, 1003207);( 1003203, 1003208);( 1003203, 1003704);( 1003203, 1003716)
( 1003204, 1003208);( 1003204, 1003308);;
( 1003207, 1003716);;;
( 1003304, 1003308);( 1003304, 1800102);( 1003304, 1800106);
( 1003403, 1003407);( 1003403, 1003408);;
( 1003408, 1003804);;;
( 1003611, 1003615);;;
( 1003702, 1003704);( 1003702, 1003706);;
( 1003704, 1003706);( 1003704, 1003708);( 1003704, 1003716);
( 1003708, 1003716);;;
( 1003804, 1003808);;;
( 1100103, 1100107);( 1100103, 1100501);( 1100103, 1100505);
( 1100107, 1100501);( 1100107, 1100505);;
( 1100201, 1100203);;;
( 1100207, 1100213);;;
( 1100301, 1100305);;;
( 1100403, 1100407);;;
( 1100501, 1100505);;;
( 1100601, 1100605);( 1100601, 1100607);;
( 1100605, 1100607);;;
( 1100801, 1100805);;;
( 1101003, 1101007);;;
( 1101201, 1101205);;;
( 1101301, 1101305);;;
( 1101504, 1101508);;;
( 1200102, 1200104);;;
( 1200202, 1200207);;;
( 1200302, 1200306);( 1200302, 1200805);;
( 1200306, 1200805);;;
( 1200402, 1200406);;;
( 1200406, 1200502);;;
( 1200502, 1200505);( 1200502, 1200506);;
( 1200602, 1200606);;;
( 1200606, 2400301);;;
( 1300101, 1300107);;;
( 1300103, 1300105);( 1300103, 1300107);;
